Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 0] -  tempo: 36
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 29
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 2
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 1
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
Backtracking: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 0] -  tempo: 0
